Border,Date,Measure,Value,Average
US-Canada Border,06/01/2019 00:00:00,Truck Containers Full,9421185,9166397
US-Canada Border,06/01/2019 00:00:00,Truck Containers Empty,2221128,2148711
US-Canada Border,06/01/2019 00:00:00,Personal Vehicles,69809448,55898519
US-Canada Border,06/01/2019 00:00:00,Personal Vehicle Passengers,145898981,113914090
US-Canada Border,06/01/2019 00:00:00,Pedestrians,1468538,707415
US-Canada Border,06/01/2019 00:00:00,Buses,338571,226289
US-Canada Border,06/01/2019 00:00:00,Bus Passengers,7931809,5319527
US-Canada Border,06/01/2019 00:00:00,Trucks,12688893,12265948
US-Mexico Border,06/01/2019 00:00:00,Pedestrians,84759227,89719030
US-Mexico Border,06/01/2019 00:00:00,Personal Vehicles,155870666,155886953
US-Mexico Border,06/01/2019 00:00:00,Personal Vehicle Passengers,329193078,333263408
US-Canada Border,06/01/2019 00:00:00,Trains,59599,60082
US-Canada Border,06/01/2019 00:00:00,Train Passengers,772385,368204
US-Canada Border,06/01/2019 00:00:00,Rail Containers Full,2551276,2642817
US-Canada Border,06/01/2019 00:00:00,Rail Containers Empty,1076102,1058687
US-Mexico Border,06/01/2019 00:00:00,Trucks,9885084,9730058
US-Mexico Border,06/01/2019 00:00:00,Truck Containers Full,6342028,6336448
US-Mexico Border,06/01/2019 00:00:00,Truck Containers Empty,3374497,3360616
US-Mexico Border,06/01/2019 00:00:00,Buses,462928,452087
US-Mexico Border,06/01/2019 00:00:00,Bus Passengers,6084398,5593155
US-Mexico Border,06/01/2019 00:00:00,Trains,17834,17410
US-Mexico Border,06/01/2019 00:00:00,Rail Containers Full,726233,664964
US-Mexico Border,06/01/2019 00:00:00,Rail Containers Empty,743377,763418
US-Mexico Border,06/01/2019 00:00:00,Train Passengers,26268,24591
US-Mexico Border,05/01/2019 00:00:00,Truck Containers Empty,3452839,3337560
US-Canada Border,05/01/2019 00:00:00,Trucks,12857951,12117947
US-Canada Border,05/01/2019 00:00:00,Truck Containers Full,9729882,9025526
US-Canada Border,05/01/2019 00:00:00,Truck Containers Empty,2242914,2125161
US-Canada Border,05/01/2019 00:00:00,Buses,315602,203961
US-Canada Border,05/01/2019 00:00:00,Personal Vehicle Passengers,135542473,108506995
US-Canada Border,05/01/2019 00:00:00,Personal Vehicles,65062577,53607504
US-Canada Border,05/01/2019 00:00:00,Rail Containers Empty,1133014,1040105
